metric,value,population_stddev,threshold,direction,aggregate_gate_pass,evidence_class,mode,run_date,graph_runs,strict_flagged_scenarios,strict_total_scenarios,strict_trajectory_failures,boundary,source_sha256
missed_dependency_rate,0.17424242424242434,0.012274130110620953,0.25,min,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
false_impact_rate,0.12323232323232321,0.007307977842670581,0.25,min,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
risk_grade_accuracy,0.7272727272727272,0.01855674047563012,0.70,max,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
plan_completeness,0.9598484848484846,0.007086472323435558,0.90,max,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
citation_fidelity,1.0,0.0,0.999,max,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
tool_misuse_rate,0.0,0.0,0.000000001,min,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
step_efficiency,1.001082251082251,0.0015305341584123495,1.35,min,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
injection_defense_rate,1.0,0.0,0.999,max,true,measured,live,2026-07-11,132,30,44,1,"Aggregate gates pass; 30/44 scenarios fail the strict all-trials outcome view. This is not a claim that all scenarios pass.",0e07cefc977279471b5b37189d05f5de91bd7ea67c16a294f26dd8c5ca4102c6
