metric,value,population_stddev,threshold,direction,aggregate_gate_pass,evidence_class,mode,run_date,graph_runs,strict_flagged_scenarios,strict_total_scenarios,boundary,source_sha256
missed_dependency_rate,0.08143939393939403,0.0,0.25,min,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
false_impact_rate,0.06893939393939386,0.0,0.25,min,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
risk_grade_accuracy,0.7727272727272728,0.0,0.70,max,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
plan_completeness,0.9954545454545455,0.0,0.90,max,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
citation_fidelity,1.0,0.0,0.999,max,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
tool_misuse_rate,0.0,0.0,0.000000001,min,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
step_efficiency,1.0,0.0,1.35,min,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
injection_defense_rate,1.0,0.0,0.999,max,true,deterministic,stub,2026-07-11,132,15,44,"Stub evidence only; no API keys or GPU. Stub proxy accounting is excluded and must not be read as spend or live latency.",b1cf95f202dc12ab3ff709e3f978159936902fd7a9a09b278f9852f7c0d346fb
